#F f1f2_EPDL97.dat
#C  This file has been created using f1f2_EPDL97.pro 
#D  Fri Sep 11 10:19:50 1998
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/scientific/dabax
#UIDL xf1f2
#UT Elastic Photon-Atom Scattering, anomalous scattering factors.
#UD Elastic Photon-Atom Scattering, anomalous scattering factors.
#UD 
#UD The anomalous scattering factors stored in this file come from the 
#UD Evaluated Photon Data Library (EPDL) from the Lawrence Livermore 
#UD National Laboratory: 
#UD    "EPDL97 The Evaluated Data Library, 97 Version"
#UD     Dermott E Cullen, John H Hubbel, Lynn Kissel
#UD        UCRL-50400, Vol 6, Rev 5 (Sep 19 1997)
#UD 
#UD Availability:
#UD In USA: contact the Radiation Safety Information Computational 
#UD         Center (RSICC):
#UD         http://epicws.cped.ornl.gov/rsic.html
#UD In Europe Korea and Japan: contact the Nuclear Energy Agence:
#UD         http://www.nea.fr
#UD The data in this file are valid in the energy range 1.0 eV to 1.0 MeV 
#UD for the elements Z = 1 - 100.
#UD Column description: 1:PhotonEnergy[eV]  2:f1  3:f2
#UD 
#S  1 H 
#UF1ADD 0.0
#N 3
#L PhotonEnergy[eV]  f1  f2
     12.57356     0.2117050     0.5209450 
     12.58344     0.1375626     0.6125165 
     12.60421    0.03083444     0.8049985 
     12.61369   -0.01788402     0.9146363 
     12.64158   -0.06927705      1.237165 
     12.65952   -0.03910410      1.444629 
     12.66378   -0.03193903      1.491021 
     12.68694    0.07618189      1.743233 
     12.69613     0.1529878      1.843316 
     12.71947     0.3480391      2.018087 
     12.72677     0.4333009      2.072755 
     12.73067     0.4788475      2.084266 
     12.75236     0.7045471      2.148288 
     12.75742     0.7734033      2.163225 
     12.78614      1.083233      2.116277 
     12.78806      1.108695      2.113138 
     12.79165      1.147087      2.090152 
     12.79793      1.204635      2.049940 
     12.82061      1.381476      1.904716 
     12.83408      1.451878      1.788778 
     12.84508      1.489164      1.694093 
     12.85951      1.515365      1.569888 
     12.87343      1.514594      1.450074 
     12.87807      1.503838      1.410134 
     12.89410      1.466681      1.302387 
     12.90613      1.424383      1.221525 
     12.91013      1.404204      1.194639 
     12.94191      1.243883      1.106620 
     12.94588      1.219955      1.095625 
     12.97369      1.096567      1.093827 
     12.97798      1.075624      1.093550 
     12.98549      1.048216      1.109276 
     13.00310     0.9985306      1.146155 
     13.00802     0.9845484      1.156457 
     13.01384     0.9703086      1.168645 
     13.01873     0.9634730      1.178886 
     13.02256     0.9581198      1.187476 
     13.02692     0.9552851      1.197254 
     13.03128     0.9565417      1.207033 
     13.04147     0.9579511      1.229887 
     13.07924     0.9469390      1.287009 
     13.09002     0.9514835      1.303313 
     13.09541     0.9567358      1.311466 
     13.10079     0.9663659      1.319602 
     13.10997     0.9790989      1.333485 
     13.12347     0.9978257      1.333258 
     13.12726      1.002988      1.333195 
     13.13609      1.014907      1.333047 
     13.14550      1.027927      1.332889 
     13.16532      1.042495      1.332556 
     13.18077      1.053852      1.327149 
     13.21531      1.067890      1.315062 
     13.24785      1.077243      1.303675 
     13.28032      1.081778      1.292313 
     13.31799      1.083911      1.279130 
     13.34334      1.083873      1.270260 
     13.36517      1.088038      1.262620 
     13.39405      1.087357      1.252514 
     13.42543      1.080494      1.241533 
     13.43596      1.079649      1.237848 
     13.44648      1.084084      1.234603 
     13.48745      1.086862      1.221965 
     13.50870      1.092282      1.215410 
     13.51542      1.095738      1.213337 
     13.52357      1.093319      1.210823 
     13.53404      1.090211      1.209680 
     13.53649      1.090107      1.209412 
     13.56507      1.076588      1.206292 
     13.57600      1.075012      1.205098 
     13.58052      1.072773      1.204605 
     13.59345      1.071516      1.203193 
     13.59970      1.072991      1.202511 
     13.60315      1.072631      1.202134 
     13.61403      1.074961      1.200946 
     13.62498      1.073401      1.199750 
     13.63551      1.076398      1.198601 
     13.64626      1.076664      1.197427 
     13.66294      1.071970      1.195606 
     13.67275      1.071450      1.194534 
     13.67912      1.072912      1.193839 
     13.69114      1.072052      1.192526 
     13.70123      1.074311      1.191425 
     13.70841      1.072620      1.190641 
     13.73981      1.072398      1.187212 
     13.75408      1.073350      1.185654 
     13.77386      1.073531      1.183495 
     13.78603      1.074792      1.182166 
     13.79886      1.074406      1.180765 
     13.85305      1.079341      1.174848 
     13.93131      1.083929      1.166303 
     13.98189      1.089789      1.160780 
     14.06809      1.097990      1.151368 
     14.11998      1.102274      1.145703 
     14.43188      1.121270      1.111647 
     14.49822      1.124400      1.104404 
     14.80491      1.138870      1.070696 
     15.07483      1.150110      1.041029 
     15.92177      1.177164     0.9479418 
     16.41221      1.187783     0.8940378 
     16.97274      1.199920     0.8494619 
     18.28241      1.216497     0.7453106 
     18.69746      1.218336     0.7123039 
     20.43037      1.226013     0.6128128 
     20.98487      1.225238     0.5809775 
     23.55835      1.221640     0.4721851 
     25.91418      1.210456     0.3966658 
     29.13232      1.195178     0.3194468 
     31.84728      1.182289     0.2724637 
     32.84931      1.177796     0.2551233 
     36.13424      1.163069     0.2127905 
     39.92138      1.146089     0.1757037 
     40.77574      1.142259     0.1695030 
     44.68631      1.129166     0.1411211 
     49.59088      1.112746     0.1151161 
     55.13187      1.099318    0.09326272 
     59.04805      1.089828    0.08209482 
     61.74884      1.085172    0.07439288 
     67.88208      1.074598    0.06140412 
     69.59558      1.071644    0.05874592 
     75.97705      1.063630    0.04884620 
     79.51414      1.059189    0.04478787 
     83.51275      1.055461    0.04020001 
     91.29327      1.048209    0.03345616 
     101.3578      1.041414    0.02688692 
     105.3750      1.038702    0.02493789 
     110.7131      1.036120    0.02234800 
     120.3923      1.031438    0.01882620 
     122.7129      1.030618    0.01798184 
     134.3996      1.026489    0.01481737 
     137.6570      1.025339    0.01414795 
     146.4240      1.023119    0.01234626 
     156.2751      1.020624    0.01083476 
     163.2676      1.019310   0.009761864 
     175.3067      1.017048   0.008422684 
     179.6900      1.016430   0.007935104 
     195.5877      1.014189   0.006599114 
     212.7262      1.012386   0.005489403 
     220.9937      1.011515   0.005091059 
     235.5439      1.010429   0.004390003 
     252.3971      1.009170   0.003799766 
     261.0462      1.008704   0.003496854 
     284.5984      1.007434   0.002904704 
     290.1504      1.007213   0.002765116 
     316.2278      1.006173   0.002284116 
     345.5636      1.005305   0.001870606 
     355.9126      1.004999   0.001763809 
     383.2090      1.004413   0.001482123 
     400.2864      1.004046   0.001355783 
     424.4363      1.003664   0.001177119 
     445.0825      1.003338   0.001063767 
     462.8470      1.003131  0.0009662368 
     502.6628      1.002668  0.0008054253 
     512.0268      1.002590  0.0007676052 
     566.4023      1.002137  0.0006095886 
     615.8809      1.001843  0.0005026093 
     641.3915      1.001691  0.0004608721 
     670.3164      1.001567  0.0004135489 
     716.8310      1.001368  0.0003575741 
     742.6832      1.001287  0.0003264641 
     800.2919      1.001106  0.0002763965 
     819.6199      1.001060  0.0002595985 
     892.7987      1.000888  0.0002126801 
     909.4616      1.000849  0.0002045642 
     965.7661      1.000754  0.0001771405 
     1015.460      1.000670  0.0001591034 
     1068.488      1.000605  0.0001398562 
     1129.144      1.000531  0.0001234895 
     1156.538      1.000507  0.0001160978 
     1260.279      1.000415  9.484134E-05 
     1363.758      1.000349  7.878470E-05 
     1396.819      1.000327  7.488913E-05 
     1486.735      1.000284  6.429433E-05 
     1512.472      1.000272  6.202882E-05 
     1632.110      1.000231  5.149768E-05 
     1671.706      1.000218  4.898657E-05 
     1803.701      1.000184  4.061570E-05 
     1839.793      1.000175  3.897535E-05 
     1988.476      1.000147  3.221783E-05 
     2032.251      1.000139  3.078223E-05 
     2192.294      1.000116  2.553363E-05 
     2243.069      1.000109  2.430166E-05 
     2382.858      1.000094  2.090992E-05 
     2485.172      1.000084  1.904410E-05 
     2592.844      1.000075  1.708057E-05 
     2701.166      1.000067  1.563426E-05 
     2864.249      1.000057  1.345680E-05 
     2916.702      1.000054  1.295654E-05 
     3162.278      1.000042  1.061438E-05 
     3442.126      1.000031  8.651935E-06 
     3718.196      1.000023  7.223312E-06 
     3782.484      1.000021  6.890630E-06 
     3946.484      1.000017  6.278246E-06 
     4166.398      1.000013  5.457076E-06 
     4356.780      1.000009  4.937801E-06 
     4545.369      1.000006  4.423416E-06 
     4726.559      1.000004  4.063026E-06 
     4838.512      1.000003  3.840350E-06 
     4901.995      1.000002  3.714081E-06 
     5015.101      1.000000  3.489111E-06 
     5134.475     0.9999992  3.319164E-06 
     5217.491     0.9999984  3.200978E-06 
     5412.020     0.9999967  2.924037E-06 
     5536.401     0.9999956  2.746961E-06 
     5657.012     0.9999947  2.623841E-06 
     6001.012     0.9999923  2.272684E-06 
     6108.867     0.9999917  2.162585E-06 
     6482.416     0.9999896  1.889873E-06 
     6727.818     0.9999885  1.710716E-06 
     7153.575     0.9999867  1.481617E-06 
     7293.133     0.9999862  1.406521E-06 
     8045.052     0.9999839  1.108148E-06 
     8726.439     0.9999825  9.095985E-07 
     9427.917     0.9999810  7.577344E-07 
     9599.454     0.9999808  7.205981E-07 
     10576.73     0.9999796  5.686921E-07 
     11459.18     0.9999785  4.705032E-07 
     11665.05     0.9999784  4.475964E-07 
     12672.46     0.9999778  3.655333E-07 
     13781.98     0.9999771  2.977573E-07 
     14890.84     0.9999764  2.464505E-07 
     16412.97     0.9999760  1.943106E-07 
     17875.38     0.9999757  1.576324E-07 
     19601.53     0.9999753  1.257319E-07 
     21357.51     0.9999749  1.019033E-07 
     21810.41     0.9999748  9.740002E-08 
     23495.43     0.9999747  8.064553E-08 
     25909.66     0.9999745  6.345381E-08 
     28136.68     0.9999744  5.183892E-08 
     30630.84     0.9999743  4.209783E-08 
     33182.07     0.9999742  3.459694E-08 
     36273.21     0.9999740  2.781679E-08 
     39420.87     0.9999739  2.269567E-08 
     42516.28     0.9999737  1.886185E-08 
     46147.71     0.9999737  1.543240E-08 
     50143.65     0.9999737  1.259469E-08 
     55300.42     0.9999737  9.911981E-09 
     60953.69     0.9999737  7.811432E-09 
     67088.00     0.9999737  6.189409E-09 
     72320.52     0.9999736  5.157679E-09 
     79816.33     0.9999736  4.059779E-09 
     87877.35     0.9999735  3.214160E-09 
     95419.84     0.9999735  2.633456E-09 
     104814.2     0.9999735  2.101934E-09 
     115520.6     0.9999734  1.664074E-09 
     127185.6     0.9999734  1.324131E-09 
     129422.0     0.9999734  1.276995E-09 
     139646.8     0.9999734  1.061489E-09 
     152668.7     0.9999734  8.608310E-10 
     167804.8     0.9999734  6.904670E-10 
     183377.0     0.9999734  5.624520E-10 
     202293.3     0.9999734  4.492770E-10 
     223869.9     0.9999734  3.579470E-10 
     247260.3     0.9999734  2.872260E-10 
     269153.5     0.9999734  2.386950E-10 
     298274.9     0.9999734  1.918930E-10 
